frame,body_id,x,y,vx,vy,mass
31,0,1.64341,-28.8948,2.01151,-96.4968,1
31,1,1.64835,2.80665,2.04988,-0.874053,1
31,2,1.60816,6.35336,1.65006,0.884407,1
31,3,3.63516,1.32669,1.98434,1.0419,1
31,4,6.30965,1.6412,0.938943,2.00644,1
31,5,1.99526,32.9669,3.36526,103.438,1
32,0,1.66353,-29.8598,2.01151,-96.4968,1
32,1,1.66887,2.79791,2.0516,-0.874336,1
32,2,1.62466,6.3622,1.65036,0.883142,1
32,3,3.65501,1.33712,1.98428,1.04335,1
32,4,6.31902,1.66127,0.936991,2.00654,1
32,5,2.02891,34.0013,3.36527,103.438,1
33,0,1.68364,-30.8247,2.01151,-96.4967,1
33,1,1.6894,2.78916,2.05334,-0.874626,1
33,2,1.64117,6.37101,1.65065,0.881885,1
33,3,3.67485,1.34757,1.9842,1.04481,1
33,4,6.32837,1.68134,0.935026,2.00664,1
33,5,2.06256,35.0357,3.36527,103.438,1
34,0,1.70376,-31.7897,2.01151,-96.4967,1
34,1,1.70995,2.78041,2.0551,-0.874924,1
34,2,1.65768,6.37982,1.65095,0.880634,1
34,3,3.69469,1.35803,1.98412,1.04627,1
34,4,6.33771,1.7014,0.933048,2.00672,1
34,5,2.09622,36.07,3.36527,103.438,1
35,0,1.72388,-32.7547,2.01152,-96.4967,1
35,1,1.73052,2.77166,2.05688,-0.875229,1
35,2,1.67419,6.38861,1.65125,0.87939,1
35,3,3.71453,1.36851,1.98402,1.04775,1
35,4,6.34702,1.72147,0.931057,2.0068,1
35,5,2.12987,37.1044,3.36527,103.438,1
36,0,1.74399,-33.7196,2.01152,-96.4966,1
36,1,1.75111,2.76291,2.05869,-0.875542,1
36,2,1.69071,6.3974,1.65156,0.878152,1
36,3,3.73437,1.379,1.98391,1.04923,1
36,4,6.35631,1.74154,0.929053,2.00688,1
36,5,2.16352,38.1388,3.36527,103.438,1
37,0,1.76411,-34.6846,2.01152,-96.4966,1
37,1,1.77171,2.75415,2.06052,-0.87586,1
37,2,1.70723,6.40616,1.65186,0.876921,1
37,3,3.75421,1.38951,1.9838,1.05072,1
37,4,6.36558,1.76161,0.927035,2.00694,1
37,5,2.19717,39.1732,3.36527,103.438,1
38,0,1.78422,-35.6496,2.01152,-96.4966,1
38,1,1.79233,2.74539,2.06237,-0.876185,1
38,2,1.72375,6.41492,1.65217,0.875697,1
38,3,3.77404,1.40003,1.98367,1.05221,1
38,4,6.37483,1.78168,0.925005,2.007,1
38,5,2.23083,40.2076,3.36527,103.438,1
39,0,1.80434,-36.6145,2.01152,-96.4965,1
39,1,1.81298,2.73662,2.06424,-0.876515,1
39,2,1.74027,6.42367,1.65247,0.874479,1
39,3,3.79388,1.41057,1.98353,1.05372,1
39,4,6.38406,1.80175,0.92296,2.00704,1
39,5,2.26448,41.2419,3.36527,103.438,1
40,0,1.82445,-37.5795,2.01152,-96.4965,1
40,1,1.83364,2.72785,2.06614,-0.876851,1
40,2,1.7568,6.4324,1.65278,0.873267,1
40,3,3.81371,1.42112,1.98338,1.05523,1
40,4,6.39327,1.82182,0.920903,2.00708,1
40,5,2.29813,42.2763,3.36527,103.438,1
41,0,1.84457,-38.5445,2.01152,-96.4965,1
41,1,1.85432,2.71908,2.06806,-0.877191,1
41,2,1.77333,6.44112,1.65309,0.872061,1
41,3,3.83354,1.43169,1.98321,1.05675,1
41,4,6.40245,1.84189,0.918832,2.00711,1
41,5,2.33179,43.3107,3.36527,103.438,1
42,0,1.86468,-39.5094,2.01153,-96.4965,1
42,1,1.87502,2.71031,2.07001,-0.877536,1
42,2,1.78987,6.44983,1.65341,0.870861,1
42,3,3.85337,1.44227,1.98304,1.05827,1
42,4,6.41162,1.86196,0.916747,2.00713,1
42,5,2.36544,44.3451,3.36527,103.438,1
43,0,1.8848,-40.4744,2.01153,-96.4964,1
43,1,1.89574,2.70153,2.07198,-0.877885,1
43,2,1.8064,6.45853,1.65372,0.869668,1
43,3,3.8732,1.45287,1.98285,1.05981,1
43,4,6.42077,1.88203,0.914649,2.00714,1
43,5,2.39909,45.3794,3.36527,103.438,1
44,0,1.90491,-41.4394,2.01153,-96.4964,1
44,1,1.91648,2.69274,2.07397,-0.878237,1
44,2,1.82294,6.46721,1.65403,0.86848,1
44,3,3.89303,1.46348,1.98265,1.06134,1
44,4,6.42989,1.90211,0.912537,2.00715,1
44,5,2.43274,46.4138,3.36528,103.438,1
45,0,1.92503,-42.4043,2.01153,-96.4964,1
45,1,1.93724,2.68396,2.07599,-0.878593,1
45,2,1.83949,6.47588,1.65435,0.867298,1
45,3,3.91285,1.47411,1.98244,1.06289,1
45,4,6.439,1.92218,0.910411,2.00714,1
